"Gross enrolment ratio, tertiary (% of tertiary school-age population)"
"Dimension: Education"
"SDG 4.3 By 2030, ensure equal access for all women and men to affordable and quality technical,vocational and tertiary education, including university"
"Definition: Total enrolment in a given level of education (pre-primary, primary, secondary or tertiary), regardless of age, expressed as a percentage of the official school-age population for the same level of education."
"Source: UNESCO (United Nations Educational, Scientific and Cultural Organization) Institute for Statistics (2020). Data Centre. http://data.uis.unesco.org. Accessed 21 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2014-2019",""
"169"," Afghanistan","2","","..","","..","","..","","..","","4","","..","","..","","8","","..","","..","","..","","10","","..","","10","a"
"69"," Albania","8","","10","","16","","23","","45","","50","","59","","65","","66","","62","","58","","57","","55","","..","","55","a"
"91"," Algeria","10","","10","","..","","21","","30","","31","","32","","34","","34","","37","","43","","48","","51","","..","","51","a"
"148"," Angola","1","","..","","..","","2","","..","","6","","..","","9","","..","","8","","9","","..","","..","","..","","9","a"
"78"," Antigua and Barbuda","..","","..","","..","","..","","17","","15","","25","","..","","..","","..","","..","","..","","..","","..","","..",""
"46"," Argentina","..","","..","","54","","64","","73","","76","","77","","78","","81","","84","","87","","90","","..","","..","","90","a"
"81"," Armenia","23","","19","","36","","40","","53","","53","","46","","46","","47","","47","","51","","52","","55","","..","","55","a"
"8"," Australia","35","","71","","..","","..","","..","","..","","..","","..","","..","","119","","121","","113","","..","","..","","113","a"
"18"," Austria","33","","45","","..","","..","","76","","78","","79","","80","","79","","81","","83","","85","","..","","..","","85","a"
"88"," Azerbaijan","24","","18","","..","","..","","19","","20","","20","","21","","23","","25","","26","","27","","28","","..","","28","a"
"58"," Bahamas","..","","15","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"42"," Bahrain","..","","17","","..","","24","","..","","44","","43","","40","","41","","43","","47","","47","","50","","..","","50","a"
"133"," Bangladesh","4","","..","","6","","6","","..","","14","","14","","..","","14","","..","","18","","18","","21","","..","","21","a"
"58"," Barbados","17","","..","","41","","..","","70","","65","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"53"," Belarus","50","","41","","55","","68","","80","","86","","92","","94","","92","","90","","88","","88","","87","","..","","87","a"
"14"," Belgium","38","","53","","58","","61","","68","","70","","71","","72","","73","","75","","76","","80","","..","","..","","80","a"
"110"," Belize","..","","..","","..","","16","","22","","22","","24","","24","","24","","23","","24","","25","","..","","..","","25","a"
"158"," Benin","2","","2","","4","","6","","14","","13","","14","","16","","16","","14","","13","","12","","..","","..","","12","a"
"129"," Bhutan","..","","..","","..","","5","","7","","9","","10","","11","","..","","..","","..","","..","","16","","..","","16","a"
"73"," Bosnia and Herzegovina","..","","..","","21","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"100"," Botswana","..","","5","","7","","10","","21","","19","","23","","..","","27","","30","","26","","25","","..","","..","","25","a"
"84"," Brazil","..","","..","","..","","26","","..","","43","","45","","47","","50","","51","","50","","51","","..","","..","","51","a"
"47"," Brunei Darussalam","..","","..","","13","","15","","15","","17","","22","","24","","32","","31","","32","","34","","31","","..","","31","a"
"56"," Bulgaria","26","","36","","44","","45","","58","","59","","61","","64","","68","","70","","71","","71","","..","","..","","71","a"
"182"," Burkina Faso","1","","1","","..","","2","","4","","4","","5","","5","","5","","5","","6","","6","","7","","..","","7","a"
"185"," Burundi","1","","..","","1","","2","","3","","3","","4","","5","","5","","..","","6","","6","","..","","..","","6","a"
"126"," Cabo Verde","..","","..","","2","","8","","18","","21","","21","","23","","24","","23","","24","","24","","24","","..","","24","a"
"144"," Cambodia","1","","1","","2","","3","","14","","15","","..","","..","","..","","13","","..","","13","","14","","..","","14","a"
"153"," Cameroon","3","","..","","5","","6","","11","","12","","13","","15","","16","","17","","12","","13","","..","","..","","13","a"
"16"," Canada","91","","91","","59","","..","","62","","63","","64","","65","","66","","65","","66","","69","","..","","..","","69","a"
"188"," Central African Republic","1","","..","","2","","..","","3","","3","","3","","..","","..","","..","","..","","..","","..","","..","","..",""
"187"," Chad","..","","..","","1","","1","","2","","2","","..","","..","","3","","3","","..","","..","","..","","..","","3","a"
"43"," Chile","..","","27","","35","","49","","68","","72","","76","","80","","83","","85","","87","","88","","..","","..","","88","a"
"85"," China","3","","4","","8","","19","","24","","26","","29","","32","","42","","46","","48","","49","","51","","..","","51","a"
"83"," Colombia","15","","17","","24","","31","","39","","43","","45","","49","","51","","53","","55","","56","","55","","..","","55","a"
"156"," Comoros","1","","..","","1","","..","","6","","8","","9","","9","","9","","..","","..","","..","","..","","..","","9","a"
"149"," Congo","5","","..","","5","","..","","..","","9","","10","","9","","..","","..","","..","","13","","..","","..","","13","a"
"175"," Congo (Democratic Republic of the)","2","","3","","..","","..","","..","","8","","8","","7","","..","","..","","7","","..","","..","","..","","7","a"
"62"," Costa Rica","27","","..","","..","","..","","..","","46","","48","","49","","52","","53","","54","","56","","55","","..","","55","a"
"43"," Croatia","21","","26","","32","","45","","54","","57","","61","","66","","68","","66","","67","","68","","..","","..","","68","a"
"70"," Cuba","21","","14","","22","","62","","95","","81","","64","","49","","41","","36","","34","","40","","41","","..","","41","a"
"33"," Cyprus","9","","17","","20","","33","","48","","47","","46","","48","","53","","60","","67","","76","","..","","..","","76","a"
"27"," Czechia","16","","21","","28","","48","","64","","66","","66","","65","","66","","64","","64","","64","","..","","..","","64","a"
"162"," Côte d'Ivoire","..","","4","","..","","..","","8","","3","","..","","8","","8","","9","","9","","9","","..","","..","","9","a"
