year,value,metric,iso_code
1990,1.1,Education Expenditure (% of GDP),ARG
1990,4.7,Education Expenditure (% of GDP),AUS
1990,5.0,Education Expenditure (% of GDP),AUT
1990,1.5,Education Expenditure (% of GDP),BGD
1990,5.7,Education Expenditure (% of GDP),BWA
1990,4.0,Education Expenditure (% of GDP),BRN
1990,4.5,Education Expenditure (% of GDP),BGR
1990,3.4,Education Expenditure (% of GDP),BDI
1990,3.3,Education Expenditure (% of GDP),CMR
1990,6.0,Education Expenditure (% of GDP),CAN
1990,2.2,Education Expenditure (% of GDP),CAF
1990,2.3,Education Expenditure (% of GDP),CHL
1990,3.3,Education Expenditure (% of GDP),CYP
1990,5.5,Education Expenditure (% of GDP),SWZ
1990,5.3,Education Expenditure (% of GDP),FIN
1990,4.5,Education Expenditure (% of GDP),FRA
1990,2.8,Education Expenditure (% of GDP),GMB
1990,2.0,Education Expenditure (% of GDP),GRC
1990,2.5,Education Expenditure (% of GDP),HKG
1990,4.3,Education Expenditure (% of GDP),ISL
1990,3.8,Education Expenditure (% of GDP),IRN
1990,4.6,Education Expenditure (% of GDP),IRL
1990,5.4,Education Expenditure (% of GDP),ISR
1990,4.8,Education Expenditure (% of GDP),JAM
1990,3.1,Education Expenditure (% of GDP),KOR
1990,3.3,Education Expenditure (% of GDP),MWI
1990,3.8,Education Expenditure (% of GDP),MLT
1990,3.2,Education Expenditure (% of GDP),MUS
1990,2.3,Education Expenditure (% of GDP),MEX
1990,4.5,Education Expenditure (% of GDP),MAR
1990,5.2,Education Expenditure (% of GDP),NLD
1990,2.9,Education Expenditure (% of GDP),NER
1990,6.3,Education Expenditure (% of GDP),NOR
1990,2.8,Education Expenditure (% of GDP),OMN
1990,2.5,Education Expenditure (% of GDP),PAK
1990,1.0,Education Expenditure (% of GDP),PRY
1990,3.6,Education Expenditure (% of GDP),PRT
1990,5.1,Education Expenditure (% of GDP),ZAF
1990,3.6,Education Expenditure (% of GDP),ESP
1990,2.4,Education Expenditure (% of GDP),LKA
1990,5.3,Education Expenditure (% of GDP),SWE
1990,4.5,Education Expenditure (% of GDP),CHE
1990,2.1,Education Expenditure (% of GDP),TZA
1990,3.7,Education Expenditure (% of GDP),TTO
1990,5.8,Education Expenditure (% of GDP),TUN
1990,7.6,Education Expenditure (% of GDP),TUV
1990,4.1,Education Expenditure (% of GDP),GBR
1990,2.5,Education Expenditure (% of GDP),VEN
1990,12.5,Education Expenditure (% of GDP),ZWE
1995,3.8,Education Expenditure (% of GDP),ALB
1995,5.1,Education Expenditure (% of GDP),AUS
1995,5.4,Education Expenditure (% of GDP),AUT
1995,3.3,Education Expenditure (% of GDP),AZE
1995,3.0,Education Expenditure (% of GDP),BEL
1995,4.6,Education Expenditure (% of GDP),BRA
1995,2.4,Education Expenditure (% of GDP),BGR
1995,5.0,Education Expenditure (% of GDP),BDI
1995,6.3,Education Expenditure (% of GDP),CAN
1995,2.6,Education Expenditure (% of GDP),CHL
1995,1.8,Education Expenditure (% of GDP),CHN
1995,4.9,Education Expenditure (% of GDP),COG
1995,3.4,Education Expenditure (% of GDP),CRI
1995,3.7,Education Expenditure (% of GDP),CYP
1995,4.5,Education Expenditure (% of GDP),CZE
1995,4.3,Education Expenditure (% of GDP),CIV
1995,7.5,Education Expenditure (% of GDP),DNK
1995,1.0,Education Expenditure (% of GDP),DOM
1995,2.0,Education Expenditure (% of GDP),ECU
1995,4.6,Education Expenditure (% of GDP),EGY
1995,6.1,Education Expenditure (% of GDP),EST
1995,5.7,Education Expenditure (% of GDP),SWZ
1995,6.8,Education Expenditure (% of GDP),FIN
1995,5.8,Education Expenditure (% of GDP),FRA
1995,2.6,Education Expenditure (% of GDP),GMB
1995,4.4,Education Expenditure (% of GDP),DEU
1995,1.6,Education Expenditure (% of GDP),GTM
1995,3.6,Education Expenditure (% of GDP),GUY
1995,2.6,Education Expenditure (% of GDP),HND
1995,4.8,Education Expenditure (% of GDP),HUN
1995,4.8,Education Expenditure (% of GDP),ISL
1995,1.0,Education Expenditure (% of GDP),IDN
1995,4.1,Education Expenditure (% of GDP),IRN
1995,4.9,Education Expenditure (% of GDP),IRL
1995,4.3,Education Expenditure (% of GDP),ITA
1995,3.4,Education Expenditure (% of GDP),JAM
1995,4.0,Education Expenditure (% of GDP),KAZ
1995,3.0,Education Expenditure (% of GDP),KOR
1995,6.2,Education Expenditure (% of GDP),KGZ
1995,2.2,Education Expenditure (% of GDP),LBN
1995,8.6,Education Expenditure (% of GDP),LSO
1995,4.8,Education Expenditure (% of GDP),LTU
1995,3.5,Education Expenditure (% of GDP),LUX
1995,4.0,Education Expenditure (% of GDP),MWI
1995,4.3,Education Expenditure (% of GDP),MYS
1995,3.7,Education Expenditure (% of GDP),MEX
1995,4.7,Education Expenditure (% of GDP),MAR
1995,1.2,Education Expenditure (% of GDP),MMR
1995,4.6,Education Expenditure (% of GDP),NLD
1995,5.7,Education Expenditure (% of GDP),NZL
1995,2.9,Education Expenditure (% of GDP),NER
1995,4.3,Education Expenditure (% of GDP),MKD
1995,7.7,Education Expenditure (% of GDP),NOR
1995,3.4,Education Expenditure (% of GDP),OMN
1995,2.8,Education Expenditure (% of GDP),PAK
1995,3.9,Education Expenditure (% of GDP),PAN
1995,3.0,Education Expenditure (% of GDP),PHL
1995,4.3,Education Expenditure (% of GDP),POL
1995,4.6,Education Expenditure (% of GDP),PRT
1995,2.6,Education Expenditure (% of GDP),KNA
1995,5.7,Education Expenditure (% of GDP),SAU
1995,7.7,Education Expenditure (% of GDP),SYC
1995,4.3,Education Expenditure (% of GDP),SVK
1995,4.9,Education Expenditure (% of GDP),SVN
1995,4.4,Education Expenditure (% of GDP),ESP
1995,3.0,Education Expenditure (% of GDP),LKA
1995,6.2,Education Expenditure (% of GDP),SWE
1995,5.1,Education Expenditure (% of GDP),CHE
1995,2.1,Education Expenditure (% of GDP),TJK
1995,3.1,Education Expenditure (% of GDP),THA
1995,3.6,Education Expenditure (% of GDP),TTO
1995,6.4,Education Expenditure (% of GDP),TUN
1995,2.3,Education Expenditure (% of GDP),TUR
1995,4.8,Education Expenditure (% of GDP),GBR
1995,2.5,Education Expenditure (% of GDP),URY
1995,1.8,Education Expenditure (% of GDP),ZMB
2000,3.4,Education Expenditure (% of GDP),ALB
2000,2.6,Education Expenditure (% of GDP),AGO
2000,4.6,Education Expenditure (% of GDP),ARG
2000,2.8,Education Expenditure (% of GDP),ARM
2000,4.9,Education Expenditure (% of GDP),AUS
2000,5.6,Education Expenditure (% of GDP),AUT
2000,3.9,Education Expenditure (% of GDP),AZE
2000,2.2,Education Expenditure (% of GDP),BHS
2000,2.1,Education Expenditure (% of GDP),BGD
2000,4.6,Education Expenditure (% of GDP),BRB
2000,6.2,Education Expenditure (% of GDP),BLR
2000,5.0,Education Expenditure (% of GDP),BLZ
2000,2.9,Education Expenditure (% of GDP),BEN
2000,5.5,Education Expenditure (% of GDP),BTN
2000,3.9,Education Expenditure (% of GDP),BRA
2000,3.7,Education Expenditure (% of GDP),BRN
2000,2.6,Education Expenditure (% of GDP),BDI
2000,1.7,Education Expenditure (% of GDP),KHM
2000,1.8,Education Expenditure (% of GDP),CMR
2000,5.4,Education Expenditure (% of GDP),CAN
2000,1.6,Education Expenditure (% of GDP),CAF
2000,2.6,Education Expenditure (% of GDP),TCD
2000,3.8,Education Expenditure (% of GDP),CHL
2000,3.5,Education Expenditure (% of GDP),COL
2000,4.7,Education Expenditure (% of GDP),CRI
2000,7.7,Education Expenditure (% of GDP),CUB
2000,5.0,Education Expenditure (% of GDP),CYP
2000,3.7,Education Expenditure (% of GDP),CZE
